TIME	ALTITUDE	ORIENTATION_X	ORIENTATION_Y	ORIENTATION_Z	ANGVELOCITY_X	ANGVELOCITY_Y	ANGVELOCITY_Z	LINEARACCEL_X	LINEARACCEL_Y	LINEARACCEL_Z	MAGNETOMETER_X	MAGNETOMETER_Y	MAGNETOMETER_Z	ACCELEROMETER_X	ACCELEROMETER_Y	ACCELEROMETER_Z	GRAVITY_X	GRAVITY_Y	GRAVITY_Z	
14022 1604.23	0.00	-21.69	-33.62	0.10	0.25	-0.23	-1.44	1.27	0.51	16.75	3.38	-44.38	-5.62	4.01	7.57	-3.68	5.03	7.56	
14104 -4.88	359.62	-21.69	-33.31	-0.02	0.16	0.35	-0.47	-0.66	-0.25	17.50	4.19	-44.38	-3.95	4.29	6.93	-3.62	5.01	7.60	
14185 -4.88	359.38	-21.38	-33.75	0.21	0.41	-0.16	-0.08	0.54	-0.14	17.56	3.38	-44.38	-3.66	5.62	7.43	-3.58	5.07	7.58	
14263 -4.85	359.06	-21.38	-34.38	-0.10	-0.32	0.04	-0.29	0.12	-0.11	17.88	2.75	-43.56	-3.87	5.27	7.41	-3.56	5.15	7.54	
14342 -4.85	359.19	-21.62	-34.25	-0.06	-0.11	0.03	-0.55	0.10	-0.14	16.75	4.19	-44.00	-4.17	5.23	7.38	-3.61	5.13	7.53	
14419 -4.74	359.38	-21.44	-33.75	-0.08	-0.03	-0.12	-0.19	-0.02	-0.37	17.56	3.38	-45.19	-3.79	5.03	7.21	-3.59	5.06	7.58	
14496 -4.77	359.62	-21.75	-33.75	-0.05	-0.07	-0.00	-0.31	0.00	-0.17	17.56	3.75	-44.38	-3.96	5.07	7.39	-3.63	5.06	7.56	
14573 -4.84	359.81	-21.94	-33.81	0.01	0.02	0.02	-0.41	0.01	-0.13	16.75	3.75	-43.56	-4.07	5.08	7.42	-3.66	5.06	7.55	
14653 -4.85	359.88	-22.00	-34.00	0.02	0.03	0.00	-0.32	0.23	-0.23	17.56	3.75	-44.75	-4.00	5.31	7.29	-3.67	5.08	7.53	
14729 -4.92	0.00	-22.12	-34.12	-0.01	-0.06	-0.14	0.01	-0.30	-0.07	16.75	3.38	-44.38	-3.68	4.78	7.44	-3.70	5.09	7.51	
14807 -4.94	0.88	-23.12	-34.94	0.66	0.17	-0.06	-0.05	1.29	-0.33	17.56	3.38	-44.38	-3.93	6.49	7.02	-3.87	5.19	7.35	
14886 -4.92	0.31	-22.44	-36.81	0.33	0.13	-0.14	-0.45	-0.96	-0.65	17.56	3.06	-46.00	-4.20	4.46	6.59	-3.75	5.43	7.24	
